,scientific_name,distance_ft,juglandacae,resistance
0,Sapindus,820.8310597246104,Juglans,0
1,Allium,287.7324821236313,Carya,0
2,Allium,691.1258873234693,Juglans,0
3,Allium,179.3402740649912,Carya,0
4,Allium,128.3370274926654,Juglans,0
5,Allium,649.5880017197683,Carya,0
6,Chenopodium berlandieri,393.016328833656,Juglans,0
7,Ficus carica,465.54987857043983,Carya,0
8,Ficus carica,959.9779512991456,Juglans,0
9,Ficus carica,171.38928981973555,Carya,0
10,Ficus carica,669.9826761684666,Juglans,0
11,Ficus carica,370.3290648909131,Carya,0
12,Ficus carica,832.5643457499459,Juglans,0
13,Ficus carica,616.8577425509768,Carya,0
14,Ficus carica,220.9455320109358,Juglans,0
15,Ficus carica,255.9182467085559,Carya,0
16,Ficus carica,361.1352930070151,Juglans,0
17,Ficus carica,177.72837353670434,Carya,0
18,Ficus carica,355.0937589728194,Juglans,0
19,Ficus carica,176.27536380381926,Carya,0
20,Ficus carica,328.3022391897311,Juglans,0
21,Ficus carica,969.4205023251585,Carya,0
22,Ficus carica,892.2347226698224,Juglans,0
23,Ficus carica,491.5580055559561,Carya,0
24,Salix nigra,322.2526370270631,Juglans,0
25,Salix nigra,701.9132236801262,Carya,0
26,Salix nigra,374.11737364372743,Juglans,0
27,Salix nigra,864.6318811898382,Carya,0
28,Salix nigra,305.2918388986301,Juglans,0
29,Salix nigra,347.2708428878646,Carya,0
30,Salix nigra,549.6830213584045,Juglans,0
31,Salix nigra,258.9551660698656,Carya,0
32,Salix nigra,531.3328497719191,Juglans,0
33,Salix nigra,993.2800728531315,Carya,0
34,Salix nigra,519.1059193321444,Juglans,0
35,Salix nigra,284.9149458378681,Carya,0
36,Salix nigra,307.4506333298668,Juglans,0
37,Salix nigra,756.1333180052931,Carya,0
38,Salix nigra,704.2921110830717,Juglans,0
39,Salix nigra,549.4972607773797,Carya,0
40,Salix nigra,840.472325873746,Juglans,0
41,Salix nigra,145.44828700955804,Carya,0
42,Salix nigra,694.1832842108304,Juglans,0
43,Salix nigra,201.35623250633017,Carya,0
44,Salix nigra,833.9703193424277,Juglans,0
45,Salix nigra,897.2467117578788,Carya,0
46,Salix nigra,121.23409957249498,Juglans,0
47,Salix nigra,713.2777369136585,Carya,0
48,Salix nigra,992.1257277979616,Juglans,0
49,Salix nigra,348.5614622616904,Carya,0
50,Salix nigra,955.5345603847461,Juglans,0
51,Salix nigra,745.901105545841,Carya,0
52,Salix nigra,703.3707807356091,Juglans,0
53,Salix nigra,690.7420106923861,Carya,0
54,Salix nigra,281.5501544206053,Juglans,0
55,Salix nigra,104.79187308788607,Carya,0
56,Salix nigra,158.25408285472432,Juglans,0
57,Salix nigra,77.919758615555,Carya,0
58,Salix nigra,965.9263168029418,Juglans,0
59,Salix nigra,30.471474060389635,Carya,1
60,Salix nigra,414.65693817629267,Juglans,0
61,Salix nigra,325.0273836646476,Carya,0
62,Salix nigra,262.8243345324206,Juglans,0
63,Salix nigra,94.01296950136707,Carya,0
64,Salix nigra,212.41186091255392,Juglans,0
65,Salix nigra,23.709357152895237,Carya,1
66,Salix nigra,904.7141145781954,Juglans,0
67,Salix nigra,617.1073638427807,Carya,0
68,Salix nigra,128.25916890610145,Juglans,0
69,Salix nigra,603.635534584456,Carya,0
70,Salix nigra,366.16368128600504,Juglans,0
71,Salix nigra,794.560059653358,Carya,0
72,Salix nigra,18.77935754166704,Juglans,1
73,Salix nigra,447.53067573741976,Carya,0
74,Salix nigra,252.29368816875353,Juglans,0
75,Salix nigra,480.77358933006064,Carya,0
76,Salix nigra,618.5919225283776,Juglans,0
77,Salix nigra,174.97579820088228,Carya,0
78,Salix nigra,437.06718908258966,Juglans,0
79,Salix nigra,474.5784695174385,Carya,0
80,Salix nigra,12.199861366278043,Juglans,1
81,Salix nigra,278.40611035651,Carya,0
82,Salix nigra,210.76770011327673,Juglans,0
83,Salix nigra,343.40545739927484,Carya,0
84,Salix nigra,501.58393768583545,Juglans,0
85,Salix nigra,459.8777137052995,Carya,0
86,Salix nigra,813.5223695337917,Juglans,0
87,Salix nigra,550.2409602414336,Carya,0
88,Salix nigra,682.5277091957313,Juglans,0
89,Salix nigra,732.1503953109252,Carya,0
90,Salix nigra,771.8019472762832,Juglans,0
91,Salix nigra,581.5705927829632,Carya,0
92,Salix nigra,882.7805369946316,Juglans,0
93,Salix nigra,479.8302356810237,Carya,0
94,Salix nigra,398.59893716807716,Juglans,0
95,Salix nigra,724.547573754021,Carya,0
96,Salix nigra,195.90596073802956,Juglans,0
97,Rosmarinus officinalis,527.6856126895617,Carya,0
98,Rosmarinus officinalis,772.9944991507197,Juglans,0
99,Rosmarinus officinalis,455.6046604783994,Carya,0
100,Rosmarinus officinalis,983.7990535145741,Juglans,0
101,Rosmarinus officinalis,811.197930008304,Carya,0
102,Rosmarinus officinalis,15.787250051717105,Juglans,1
103,Rosmarinus officinalis,216.54707405963669,Carya,0
104,Rosmarinus officinalis,421.9980231101499,Juglans,0
105,Rosmarinus officinalis,634.6154777892953,Carya,0
106,Rosmarinus officinalis,803.5173888597584,Juglans,0
107,Rosmarinus officinalis,320.34057250885684,Carya,0
108,Rosmarinus officinalis,788.3676662202596,Juglans,0
109,Rosmarinus officinalis,126.25175317766124,Carya,0
110,Rosmarinus officinalis,370.75062616747147,Juglans,0
